Location,VR Internal Loc,Date,Time,Vehicle Count
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,09:45:00,112
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,10:00:00,86
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,10:00:00,169
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,10:00:00,104
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,10:00:00,123
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,10:15:00,77
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,10:15:00,173
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,10:15:00,89
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,10:15:00,127
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,10:30:00,93
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,10:30:00,176
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,10:30:00,98
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,10:30:00,121
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,10:45:00,120
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,10:45:00,194
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,10:45:00,95
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,10:45:00,137
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,11:00:00,102
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,11:00:00,172
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,11:00:00,121
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,11:00:00,133
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,11:15:00,119
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,11:15:00,171
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,11:15:00,114
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,11:15:00,166
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,11:30:00,110
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,11:30:00,157
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,11:30:00,100
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,11:30:00,173
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,11:45:00,108
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,11:45:00,187
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,11:45:00,118
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,11:45:00,182
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,12:00:00,111
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,12:00:00,182
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,12:00:00,127
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,12:00:00,177
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,12:15:00,110
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,12:15:00,187
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,12:15:00,137
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,12:15:00,137
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,12:30:00,115
