Location,Date,Time,Vehicle Count
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,1:45,17
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,1:45,20
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,1:45,21
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,20:00,55
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,20:00,41
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,20:00,45
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,20:15,35
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,20:15,37
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,20:15,57
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,20:30,48
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,20:30,38
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,20:30,50
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,20:45,49
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,20:45,35
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,20:45,61
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,21:00,60
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,21:00,44
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,21:00,46
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,21:15,71
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,21:15,39
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,21:15,61
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,21:30,41
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,21:30,27
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,21:30,55
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,21:45,35
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,21:45,41
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,21:45,43
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,22:00,45
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,22:00,33
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,22:00,38
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,22:15,42
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,22:15,27
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,22:15,37
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,22:30,27
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,22:30,34
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,22:30,27
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,22:45,27
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,22:45,22
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,22:45,47
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,23:00,19
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,23:00,14
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,23:00,22
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,23:15,21
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,23:15,23
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,23:15,22
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,23:30,21
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,23:30,13
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,23:30,21
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,23:45,13
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,23:45,20
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,23:45,16
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,2:00,21
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,2:00,21
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,2:00,19
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,2:15,26
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,2:15,14
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,2:15,27
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,2:30,15
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,2:30,15
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,2:30,12
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,2:45,20
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,2:45,17
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,2:45,16
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,3:00,18
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,3:00,17
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,3:00,12
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,3:15,15
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,3:15,11
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,3:15,16
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,3:30,17
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,3:30,15
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,3:30,18
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,3:45,10
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,3:45,16
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,3:45,14
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,4:00,12
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,4:00,12
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,4:00,20
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,4:15,18
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,4:15,6
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,4:15,9
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,4:30,16
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,4:30,5
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,4:30,15
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,4:45,15
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,4:45,12
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,4:45,12
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,5:00,11
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,5:00,9
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,5:00,13
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,5:15,12
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,5:15,9
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,5:15,7
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,5:30,16
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,5:30,4
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,5:30,9
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,5:45,14
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,5:45,8
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,5:45,9
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,6:00,20
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,6:00,6
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,6:00,6
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,6:15,16
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,6:15,5
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,6:15,13
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,6:30,22
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,6:30,10
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,6:30,11
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,6:45,34
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,6:45,12
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,6:45,20
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,7:00,17
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,7:00,14
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,7:00,16
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,7:15,33
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,7:15,14
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,7:15,14
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,7:30,38
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,7:30,5
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,7:30,19
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,7:45,48
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,7:45,13
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,7:45,27
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,8:00,37
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,8:00,14
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,8:00,20
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,8:15,52
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,8:15,19
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,8:15,42
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,8:30,57
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,8:30,33
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,8:30,33
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,8:45,70
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,8:45,31
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,8:45,51
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,9:00,70
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,9:00,43
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,9:00,64
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,9:15,94
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,9:15,38
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,9:15,56
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,9:30,96
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,9:30,41
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,9:30,75
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,9:45,104
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,9:45,48
